Gene No     Actual Loc                         Predicted Locs

G234813     mitochondria                       ['mitochondria']
G234226     golgi                              ['cytoplasm', 'nucleus', 'transportvesicles']
G235748     mitochondria                       ['nucleus', 'mitochondria']
G237429     plasmamembrane                     ['cytoplasm', 'golgi']
G234653     nucleus                            ['nucleus']
G234698     plasmamembrane                     ['plasmamembrane']
G235646     cytoskeleton                       ['cytoskeleton']
G234739     cytoplasm                          ['cytoplasm']
G234974     nucleus                            ['nucleus']
G235111     cytoplasm                          ['cytoplasm']
G235635     nucleus                            ['nucleus']
G234333     vacuole                            ['er', 'nucleus']
G235356     er                                 ['er']
G235882     er                                 ['er']
G235778     cytoplasm                          ['cytoskeleton']
G237406     cytoplasm                          ['cytoskeleton', 'plasmamembrane']
G235775     cytoskeleton                       ['cytoskeleton']
G234394     cytoskeleton                       ['cytoskeleton']
G234411     plasmamembrane                     ['nucleus']
G234339     mitochondria                       ['mitochondria']
G235106     nucleus                            ['nucleus']
G234147     nucleus                            ['nucleus']
G235275     mitochondria                       ['mitochondria']
G234161     cytoskeleton                       ['nucleus']
G234790     er                                 ['cytoplasm']
G234534     mitochondria                       ['mitochondria']
G234081     nucleus                            ['nucleus']
G235767     mitochondria                       ['mitochondria']
G235284     cytoplasm                          ['cytoplasm']
G235783     nucleus                            ['nucleus']
G234125     golgi                              ['cytoplasm']
G236736     cytoplasm                          ['nucleus']
G235794     nucleus                            ['er', 'nucleus']
G235256     cytoskeleton                       ['nucleus']
G234470     plasmamembrane                     ['transportvesicles']
G235933     mitochondria                       ['nucleus']
G235109     nucleus                            ['nucleus']
G240462     mitochondria                       ['mitochondria']
G235051     transportvesicles                  ['golgi']
G240440     nucleus                            ['nucleus']
G234216     nucleus                            ['nucleus']
G237529     er                                 ['er']
G234531     plasmamembrane                     ['nucleus']
G236771     nucleus                            ['cytoplasm']
G235668     mitochondria                       ['nucleus']
G235096     nucleus                            ['nucleus']
G234683     plasmamembrane                     ['nucleus']
G235186     nucleus                            ['nucleus']
G235673     nucleus                            ['nucleus']
G235328     nucleus                            ['nucleus']
G235104     cytoskeleton                       ['cytoskeleton']
G236919     nucleus                            ['cytoplasm']
G235761     cytoskeleton                       ['cytoplasm']
G239974     peroxisome                         ['nucleus']
G234651     transportvesicles                  ['transportvesicles']
G235908     nucleus                            ['nucleus']
G237747     plasmamembrane                     ['cytoplasm']
G234511     nucleus                            ['nucleus']
G235069     nucleus                            ['nucleus']
G239847     er                                 ['er']
G239971     cytoplasm                          ['cytoplasm']
G235233     nucleus                            ['nucleus']
G235150     er                                 ['er', 'nucleus']
G236279     cytoplasm                          ['peroxisome']
G235493     cytoplasm                          ['cytoplasm']
G235909     nucleus                            ['nucleus']
G234641     cytoskeleton                       ['cytoskeleton']
G235255     cytoskeleton                       ['cytoskeleton']
G235149     nucleus                            ['nucleus']
G237124     nucleus                            ['nucleus']
G234412     nucleus                            ['nucleus']
G235777     nucleus                            ['nucleus']
G235387     cytoplasm                          ['cytoplasm', 'transportvesicles', 'plasmamembrane']
G235503     cytoskeleton                       ['nucleus']
G237026     cytoplasm                          ['nucleus']
G235311     nucleus                            ['nucleus']
G234965     nucleus                            ['nucleus']
G236099     nucleus                            ['nucleus']
G234062     mitochondria                       ['mitochondria']
G235804     golgi                              ['transportvesicles']
G235389     cytoplasm                          ['vacuole', 'cytoplasm', 'transportvesicles']
G234940     transportvesicles                  ['cytoskeleton']
G234618     nucleus                            ['nucleus']
G235605     cytoskeleton                       ['cytoplasm']
G235376     cytoplasm                          ['cytoplasm']
G234181     nucleus                            ['cytoskeleton']
G234780     nucleus                            ['cytoplasm']
G239664     mitochondria                       ['nucleus']
G237337     er                                 ['er']
G234298     nucleus                            ['nucleus']
G234633     nucleus                            ['plasmamembrane']
G235602     nucleus                            ['nucleus']
G235746     nucleus                            ['nucleus']
G234927     nucleus                            ['nucleus']
G234837     mitochondria                       ['mitochondria']
G240380     transportvesicles                  ['nucleus']
G238400     mitochondria                       ['nucleus']
G239938     cytoplasm                          ['nucleus']
G234977     vacuole                            ['er']
G235369     nucleus                            ['nucleus']
G240072     cytoplasm                          ['nucleus']
